# f[Hz] VS VN U[V] ΔU[V]
460000  1  50 1.55 0.01
400000  1  50 1.71 0.01
360000  1  50 1.70 0.01
340000  1  50 1.67 0.01
320000  1  50 1.68 0.01
280000  1  50 1.35 0.01
240000  1  50 1.20 0.01
200000  1  50 1.01 0.01
160000  1  50 0.78 0.01
120000  1  50 0.62 0.01
100000 10   5 0.68 0.01
80000  10   5 0.56 0.01
60000  10  10 1.70 0.01
40000  10  10 1.20 0.01
30000  10   5 0.25 0.01
20000  10  10 0.67 0.01
10000  10   5 0.14 0.01
9000   10   5 0.10 0.01
7000   10  10 0.30 0.01
5000   10  20 1.00 0.01
3000   10  20 0.70 0.01
2000   10  20 0.56 0.01
1000   10  20 0.41 0.01
900    10  20 0.36 0.01
700    10  20 0.34 0.01
500    10  10 0.08 0.01
300    10  20 0.32 0.01
200    10  20 0.30 0.01
100    10  20 0.35 0.01
90     10  20 0.40 0.01
70     10  20 0.45 0.01
30     10  20 0.52 0.01
20     10  20 0.58 0.01
10     10  20 0.65 0.01
9      10  50 2.50 0.01
7      10  50 2.20 0.01
5      10  50 2.30 0.01
3      10 100 3.40 0.01
