# f[Hz] VS VN U[V] ΔU[V]
460000  1  50 2.98 0.01
400000  1  50 3.22 0.01
360000  1  20 0.57 0.01
320000  1  20 0.54 0.01
280000  1  20 0.52 0.01
240000  1  50 2.93 0.01
200000  1  50 2.77 0.01
160000  1  50 2.10 0.01
120000  1  50 1.75 0.01
100000 10   5 2.10 0.01
90000  10   5 1.94 0.01
70000  10   5 1.57 0.01
50000  10   5 1.18 0.01
30000  10   5 0.75 0.01
20000  10   5 0.51 0.01
10000  10  10 1.02 0.01
9000   10  10 0.88 0.01
7000   10  10 0.68 0.01
5000   10  10 0.49 0.01
3000   10  20 1.28 0.01
2000   10  20 0.87 0.01
1000   10  20 0.42 0.01
900    10  50 2.02 0.01
700    10  50 1.65 0.01
500    10  50 1.23 0.01
300    10  50 0.68 0.01
200    10 100 1.98 0.01
100    10 100 0.98 0.01
90     10 100 1.08 0.01
70     10 100 0.95 0.01
30     10 100 1.20 0.01
20     10  50 0.80 0.01
10     10  20 0.65 0.01
5      10  20 1.30 0.01
